case_id,case_kind,expected_type,a,b,provenance
random_02706,random,,1672,3919,random_seed_20260220
random_02707,random,,-4866,-9022,random_seed_20260220
random_02708,random,,8122,210,random_seed_20260220
random_02709,random,,-4688,-5999,random_seed_20260220
random_02710,random,,1178,5291,random_seed_20260220
random_02711,random,,5211,7455,random_seed_20260220
random_02712,random,,8287,7823,random_seed_20260220
random_02713,random,,3082,-7302,random_seed_20260220
random_02714,random,,-1627,5134,random_seed_20260220
random_02715,random,,7435,8226,random_seed_20260220
random_02716,random,,4977,-3622,random_seed_20260220
random_02717,random,,3101,-9800,random_seed_20260220
random_02718,random,,6118,-9924,random_seed_20260220
random_02719,random,,-1756,-628,random_seed_20260220
random_02720,random,,1392,-9153,random_seed_20260220
random_02721,random,,236,-7358,random_seed_20260220
random_02722,random,,-7672,8351,random_seed_20260220
random_02723,random,,7783,-6816,random_seed_20260220
random_02724,random,,-5698,-3352,random_seed_20260220
random_02725,random,,-5012,-8876,random_seed_20260220
random_02726,random,,4554,5932,random_seed_20260220
random_02727,random,,-4475,643,random_seed_20260220
random_02728,random,,6536,-2039,random_seed_20260220
random_02729,random,,2928,-7214,random_seed_20260220
random_02730,random,,8245,-8516,random_seed_20260220
random_02731,random,,-7151,-5770,random_seed_20260220
random_02732,random,,-7820,3899,random_seed_20260220
random_02733,random,,1084,-8337,random_seed_20260220
random_02734,random,,-9848,-8855,random_seed_20260220
random_02735,random,,-6193,725,random_seed_20260220
random_02736,random,,-7247,1162,random_seed_20260220
random_02737,random,,-9358,-1466,random_seed_20260220
random_02738,random,,-8582,-736,random_seed_20260220
random_02739,random,,-7873,-7209,random_seed_20260220
random_02740,random,,-2250,-6363,random_seed_20260220
random_02741,random,,-6384,-1034,random_seed_20260220
random_02742,random,,-6228,-7986,random_seed_20260220
random_02743,random,,601,2180,random_seed_20260220
random_02744,random,,-1619,1453,random_seed_20260220
random_02745,random,,-9282,2476,random_seed_20260220
random_02746,random,,-1863,863,random_seed_20260220
random_02747,random,,2828,-7240,random_seed_20260220
random_02748,random,,-5830,4357,random_seed_20260220
random_02749,random,,9648,-1824,random_seed_20260220
random_02750,random,,9731,7099,random_seed_20260220
random_02751,random,,7052,5028,random_seed_20260220
random_02752,random,,4558,9111,random_seed_20260220
random_02753,random,,-7995,6821,random_seed_20260220
random_02754,random,,-9497,-6251,random_seed_20260220
random_02755,random,,-1752,103,random_seed_20260220
random_02756,random,,7837,-315,random_seed_20260220
random_02757,random,,-8649,-5669,random_seed_20260220
random_02758,random,,2624,-692,random_seed_20260220
random_02759,random,,9543,-8462,random_seed_20260220
random_02760,random,,9432,52,random_seed_20260220
random_02761,random,,-6823,6674,random_seed_20260220
random_02762,random,,-9244,402,random_seed_20260220
random_02763,random,,1713,41,random_seed_20260220
random_02764,random,,-7080,6902,random_seed_20260220
random_02765,random,,8283,1770,random_seed_20260220
random_02766,random,,-6087,4348,random_seed_20260220
random_02767,random,,9921,-1545,random_seed_20260220
random_02768,random,,6172,9316,random_seed_20260220
random_02769,random,,6303,-7276,random_seed_20260220
random_02770,random,,-5653,-5426,random_seed_20260220
random_02771,random,,-6494,2117,random_seed_20260220
random_02772,random,,2756,5290,random_seed_20260220
random_02773,random,,5042,-3106,random_seed_20260220
random_02774,random,,5371,4713,random_seed_20260220
random_02775,random,,4273,-2992,random_seed_20260220
random_02776,random,,9005,1497,random_seed_20260220
random_02777,random,,7327,3123,random_seed_20260220
random_02778,random,,3726,2674,random_seed_20260220
random_02779,random,,1290,9231,random_seed_20260220
random_02780,random,,-5824,8492,random_seed_20260220
random_02781,random,,-5840,-2368,random_seed_20260220
random_02782,random,,-7032,2999,random_seed_20260220
random_02783,random,,5224,6607,random_seed_20260220
random_02784,random,,-1831,-4731,random_seed_20260220
random_02785,random,,6917,4543,random_seed_20260220
random_02786,random,,-99,-6236,random_seed_20260220
random_02787,random,,5808,-1835,random_seed_20260220
random_02788,random,,4375,-3420,random_seed_20260220
random_02789,random,,5499,-9858,random_seed_20260220
random_02790,random,,5306,2880,random_seed_20260220
random_02791,random,,3467,1313,random_seed_20260220
random_02792,random,,-154,-643,random_seed_20260220
random_02793,random,,-699,-139,random_seed_20260220
random_02794,random,,-17,-2437,random_seed_20260220
random_02795,random,,4024,7912,random_seed_20260220
random_02796,random,,1792,-3632,random_seed_20260220
random_02797,random,,2047,-3397,random_seed_20260220
random_02798,random,,2807,-7864,random_seed_20260220
random_02799,random,,59,-8814,random_seed_20260220
random_02800,random,,9045,-2578,random_seed_20260220
random_02801,random,,-9687,1079,random_seed_20260220
random_02802,random,,-6478,-8692,random_seed_20260220
random_02803,random,,-723,-3079,random_seed_20260220
random_02804,random,,-1695,-7990,random_seed_20260220
random_02805,random,,6004,107,random_seed_20260220
random_02806,random,,8123,3518,random_seed_20260220
random_02807,random,,-7208,-4824,random_seed_20260220
random_02808,random,,-8856,-6604,random_seed_20260220
random_02809,random,,6648,7686,random_seed_20260220
random_02810,random,,5866,-5792,random_seed_20260220
random_02811,random,,-2119,80,random_seed_20260220
random_02812,random,,5258,-6381,random_seed_20260220
random_02813,random,,7531,-4503,random_seed_20260220
random_02814,random,,-2361,4582,random_seed_20260220
random_02815,random,,-3624,-5244,random_seed_20260220
random_02816,random,,2453,-9014,random_seed_20260220
random_02817,random,,2823,6339,random_seed_20260220
random_02818,random,,-4984,-3765,random_seed_20260220
random_02819,random,,-8377,1341,random_seed_20260220
random_02820,random,,1651,-5334,random_seed_20260220
random_02821,random,,7469,-6538,random_seed_20260220
random_02822,random,,-3424,-9448,random_seed_20260220
random_02823,random,,2446,1849,random_seed_20260220
random_02824,random,,-9621,8812,random_seed_20260220
random_02825,random,,-3345,3426,random_seed_20260220
random_02826,random,,7055,-6947,random_seed_20260220
random_02827,random,,4689,-9856,random_seed_20260220
random_02828,random,,2932,1770,random_seed_20260220
random_02829,random,,-4221,9369,random_seed_20260220
random_02830,random,,7493,4091,random_seed_20260220
random_02831,random,,9987,-7836,random_seed_20260220
random_02832,random,,-4239,7421,random_seed_20260220
random_02833,random,,-981,4176,random_seed_20260220
random_02834,random,,9712,6960,random_seed_20260220
random_02835,random,,7816,-620,random_seed_20260220
random_02836,random,,-6734,-3366,random_seed_20260220
random_02837,random,,793,-2456,random_seed_20260220
random_02838,random,,9033,-846,random_seed_20260220
random_02839,random,,7216,5459,random_seed_20260220
random_02840,random,,-9399,-5539,random_seed_20260220
random_02841,random,,-7255,805,random_seed_20260220
random_02842,random,,7359,-3196,random_seed_20260220
random_02843,random,,471,-8074,random_seed_20260220
random_02844,random,,279,3224,random_seed_20260220
random_02845,random,,9512,-1580,random_seed_20260220
random_02846,random,,-7050,3624,random_seed_20260220
random_02847,random,,8909,2735,random_seed_20260220
random_02848,random,,-7858,3312,random_seed_20260220
random_02849,random,,-3415,7231,random_seed_20260220
random_02850,random,,-7037,-8165,random_seed_20260220
random_02851,random,,3915,-2716,random_seed_20260220
random_02852,random,,6199,-2713,random_seed_20260220
random_02853,random,,-2368,8273,random_seed_20260220
random_02854,random,,4782,5187,random_seed_20260220
random_02855,random,,-1201,7731,random_seed_20260220
random_02856,random,,8781,4267,random_seed_20260220
random_02857,random,,2081,7408,random_seed_20260220
random_02858,random,,4415,-7552,random_seed_20260220
random_02859,random,,-8863,-4309,random_seed_20260220
random_02860,random,,7818,-5547,random_seed_20260220
random_02861,random,,893,-7522,random_seed_20260220
random_02862,random,,3959,8416,random_seed_20260220
random_02863,random,,-3988,-9512,random_seed_20260220
random_02864,random,,-1245,9965,random_seed_20260220
random_02865,random,,2801,8456,random_seed_20260220
random_02866,random,,1237,-2980,random_seed_20260220
random_02867,random,,2960,-9164,random_seed_20260220
random_02868,random,,9866,-5817,random_seed_20260220
random_02869,random,,2850,6835,random_seed_20260220
random_02870,random,,-6844,4603,random_seed_20260220
random_02871,random,,-3366,-1930,random_seed_20260220
random_02872,random,,-2195,6295,random_seed_20260220
random_02873,random,,-4455,-7544,random_seed_20260220
random_02874,random,,5152,6414,random_seed_20260220
random_02875,random,,-6407,8051,random_seed_20260220
random_02876,random,,-7578,9506,random_seed_20260220
random_02877,random,,-7243,2293,random_seed_20260220
random_02878,random,,5449,6198,random_seed_20260220
random_02879,random,,-8550,6086,random_seed_20260220
random_02880,random,,6577,4601,random_seed_20260220
random_02881,random,,-8970,-8045,random_seed_20260220
random_02882,random,,4384,-5171,random_seed_20260220
random_02883,random,,2386,1432,random_seed_20260220
random_02884,random,,-633,-7004,random_seed_20260220
random_02885,random,,3535,7252,random_seed_20260220
random_02886,random,,9675,7421,random_seed_20260220
random_02887,random,,-7516,4948,random_seed_20260220
random_02888,random,,8633,-8622,random_seed_20260220
random_02889,random,,-5847,8462,random_seed_20260220
random_02890,random,,-6265,-3388,random_seed_20260220
random_02891,random,,6873,828,random_seed_20260220
random_02892,random,,-2752,2457,random_seed_20260220
random_02893,random,,3470,-3862,random_seed_20260220
random_02894,random,,2154,-9252,random_seed_20260220
random_02895,random,,-183,-9871,random_seed_20260220
random_02896,random,,-2041,-3350,random_seed_20260220
random_02897,random,,-8671,-8720,random_seed_20260220
random_02898,random,,-7693,7641,random_seed_20260220
random_02899,random,,-6481,-9346,random_seed_20260220
random_02900,random,,7638,9658,random_seed_20260220
random_02901,random,,-742,4783,random_seed_20260220
random_02902,random,,-8726,-946,random_seed_20260220
random_02903,random,,-132,2074,random_seed_20260220
random_02904,random,,2858,934,random_seed_20260220
random_02905,random,,-2314,-6824,random_seed_20260220
random_02906,random,,-7088,4791,random_seed_20260220
random_02907,random,,-1288,-3777,random_seed_20260220
random_02908,random,,3050,6288,random_seed_20260220
random_02909,random,,-5404,4923,random_seed_20260220
random_02910,random,,-3574,1356,random_seed_20260220
random_02911,random,,912,-4769,random_seed_20260220
random_02912,random,,-3234,3416,random_seed_20260220
random_02913,random,,-3616,54,random_seed_20260220
random_02914,random,,237,397,random_seed_20260220
random_02915,random,,-318,9681,random_seed_20260220
random_02916,random,,7017,9934,random_seed_20260220
random_02917,random,,1603,5286,random_seed_20260220
random_02918,random,,-71,-8905,random_seed_20260220
random_02919,random,,-3250,-4217,random_seed_20260220
random_02920,random,,-1028,8038,random_seed_20260220
random_02921,random,,2314,-5996,random_seed_20260220
random_02922,random,,-7863,-3364,random_seed_20260220
random_02923,random,,-4133,-9345,random_seed_20260220
random_02924,random,,-7571,7953,random_seed_20260220
random_02925,random,,2058,5817,random_seed_20260220
random_02926,random,,4475,9797,random_seed_20260220
random_02927,random,,8872,5679,random_seed_20260220
random_02928,random,,-8114,-4839,random_seed_20260220
random_02929,random,,-581,123,random_seed_20260220
random_02930,random,,-9693,-7203,random_seed_20260220
random_02931,random,,-2995,9963,random_seed_20260220
random_02932,random,,8533,-4306,random_seed_20260220
random_02933,random,,-9321,3380,random_seed_20260220
random_02934,random,,2560,500,random_seed_20260220
random_02935,random,,8812,8311,random_seed_20260220
random_02936,random,,5761,-611,random_seed_20260220
random_02937,random,,9369,3648,random_seed_20260220
random_02938,random,,2167,5896,random_seed_20260220
random_02939,random,,6233,4905,random_seed_20260220
random_02940,random,,9482,-8681,random_seed_20260220
random_02941,random,,-4302,-7637,random_seed_20260220
random_02942,random,,-5652,-8434,random_seed_20260220
random_02943,random,,9967,4848,random_seed_20260220
random_02944,random,,-530,6209,random_seed_20260220
random_02945,random,,-968,-7749,random_seed_20260220
random_02946,random,,6179,8409,random_seed_20260220
random_02947,random,,-5893,-507,random_seed_20260220
random_02948,random,,-8202,118,random_seed_20260220
random_02949,random,,-7741,4611,random_seed_20260220
random_02950,random,,-8766,-6085,random_seed_20260220
random_02951,random,,3429,3238,random_seed_20260220
random_02952,random,,-9530,225,random_seed_20260220
random_02953,random,,94,8708,random_seed_20260220
random_02954,random,,7712,9933,random_seed_20260220
random_02955,random,,-777,895,random_seed_20260220
random_02956,random,,-3129,-890,random_seed_20260220
random_02957,random,,3830,4732,random_seed_20260220
random_02958,random,,-1586,-2999,random_seed_20260220
random_02959,random,,-4960,-4132,random_seed_20260220
random_02960,random,,-7122,5481,random_seed_20260220
random_02961,random,,8051,7786,random_seed_20260220
random_02962,random,,6698,-7221,random_seed_20260220
random_02963,random,,-3403,2818,random_seed_20260220
random_02964,random,,259,-9798,random_seed_20260220
random_02965,random,,-7796,-6980,random_seed_20260220
random_02966,random,,-1395,9931,random_seed_20260220
random_02967,random,,-1038,991,random_seed_20260220
random_02968,random,,-57,2128,random_seed_20260220
random_02969,random,,-254,-480,random_seed_20260220
random_02970,random,,-1504,-4578,random_seed_20260220
random_02971,random,,2979,1176,random_seed_20260220
random_02972,random,,-2761,-5176,random_seed_20260220
random_02973,random,,6996,561,random_seed_20260220
random_02974,random,,-4072,2880,random_seed_20260220
random_02975,random,,-4583,-7698,random_seed_20260220
random_02976,random,,-5925,6834,random_seed_20260220
random_02977,random,,7429,-9330,random_seed_20260220
random_02978,random,,-7365,2197,random_seed_20260220
random_02979,random,,-2074,-4307,random_seed_20260220
random_02980,random,,9227,1732,random_seed_20260220
random_02981,random,,8796,-3370,random_seed_20260220
random_02982,random,,5657,-6257,random_seed_20260220
random_02983,random,,2076,-4126,random_seed_20260220
random_02984,random,,-4587,1630,random_seed_20260220
random_02985,random,,1024,-8493,random_seed_20260220
random_02986,random,,-73,-3201,random_seed_20260220
random_02987,random,,-4185,3411,random_seed_20260220
random_02988,random,,-6004,-6836,random_seed_20260220
random_02989,random,,-2755,-7541,random_seed_20260220
random_02990,random,,-7859,-1930,random_seed_20260220
random_02991,random,,2810,-7951,random_seed_20260220
random_02992,random,,-9607,9164,random_seed_20260220
random_02993,random,,-654,5184,random_seed_20260220
random_02994,random,,5646,3138,random_seed_20260220
random_02995,random,,-3493,362,random_seed_20260220
random_02996,random,,-7118,-7141,random_seed_20260220
random_02997,random,,2828,-6840,random_seed_20260220
random_02998,random,,7092,6104,random_seed_20260220
random_02999,random,,1041,5702,random_seed_20260220
random_03000,random,,-1764,7893,random_seed_20260220
random_03001,random,,6217,5544,random_seed_20260220
random_03002,random,,7145,-3015,random_seed_20260220
random_03003,random,,-4834,-464,random_seed_20260220
random_03004,random,,6550,-1717,random_seed_20260220
random_03005,random,,6327,2482,random_seed_20260220
random_03006,random,,-8150,2429,random_seed_20260220
random_03007,random,,-6146,3237,random_seed_20260220
random_03008,random,,4766,1125,random_seed_20260220
random_03009,random,,-804,-5785,random_seed_20260220
random_03010,random,,-6189,4060,random_seed_20260220
random_03011,random,,677,-2989,random_seed_20260220
random_03012,random,,6579,-1097,random_seed_20260220
random_03013,random,,-7172,-8458,random_seed_20260220
random_03014,random,,1378,-6554,random_seed_20260220
random_03015,random,,8763,4434,random_seed_20260220
random_03016,random,,-8719,-9950,random_seed_20260220
random_03017,random,,-268,1420,random_seed_20260220
random_03018,random,,6184,5804,random_seed_20260220
random_03019,random,,-1620,6917,random_seed_20260220
random_03020,random,,-6176,-5086,random_seed_20260220
random_03021,random,,4805,2407,random_seed_20260220
random_03022,random,,8252,-622,random_seed_20260220
random_03023,random,,349,-280,random_seed_20260220
random_03024,random,,-9563,-5529,random_seed_20260220
random_03025,random,,-623,6915,random_seed_20260220
random_03026,random,,-4588,-9149,random_seed_20260220
random_03027,random,,-8230,2147,random_seed_20260220
random_03028,random,,-4813,-5114,random_seed_20260220
random_03029,random,,4302,1074,random_seed_20260220
random_03030,random,,-1173,5275,random_seed_20260220
random_03031,random,,2329,-3395,random_seed_20260220
random_03032,random,,-5943,4639,random_seed_20260220
random_03033,random,,6229,8053,random_seed_20260220
random_03034,random,,-4330,-1423,random_seed_20260220
random_03035,random,,1584,7361,random_seed_20260220
random_03036,random,,-1407,-1243,random_seed_20260220
random_03037,random,,6137,-6740,random_seed_20260220
random_03038,random,,4324,6522,random_seed_20260220
random_03039,random,,-5392,5129,random_seed_20260220
random_03040,random,,-9178,6903,random_seed_20260220
random_03041,random,,-8873,-8941,random_seed_20260220
random_03042,random,,-3451,4338,random_seed_20260220
random_03043,random,,4101,7734,random_seed_20260220
random_03044,random,,-5424,4708,random_seed_20260220
random_03045,random,,-9709,5674,random_seed_20260220
random_03046,random,,3,3623,random_seed_20260220
random_03047,random,,1117,373,random_seed_20260220
random_03048,random,,-2979,-350,random_seed_20260220
random_03049,random,,184,-5269,random_seed_20260220
random_03050,random,,3873,6744,random_seed_20260220
random_03051,random,,1750,-3517,random_seed_20260220
random_03052,random,,-4297,5871,random_seed_20260220
random_03053,random,,2684,4276,random_seed_20260220
random_03054,random,,538,4248,random_seed_20260220
random_03055,random,,-2413,-7950,random_seed_20260220
random_03056,random,,-129,721,random_seed_20260220
random_03057,random,,5400,-9058,random_seed_20260220
random_03058,random,,-8704,7152,random_seed_20260220
random_03059,random,,-6048,4580,random_seed_20260220
random_03060,random,,6998,-5270,random_seed_20260220
random_03061,random,,5054,4739,random_seed_20260220
random_03062,random,,-5203,-2923,random_seed_20260220
random_03063,random,,-9192,9190,random_seed_20260220
random_03064,random,,-9491,-6786,random_seed_20260220
random_03065,random,,3205,5651,random_seed_20260220
random_03066,random,,-2451,-3669,random_seed_20260220
random_03067,random,,-470,-44,random_seed_20260220
random_03068,random,,8645,-8323,random_seed_20260220
random_03069,random,,7406,-6782,random_seed_20260220
random_03070,random,,2260,1529,random_seed_20260220
random_03071,random,,-1278,3679,random_seed_20260220
random_03072,random,,8714,538,random_seed_20260220
random_03073,random,,7004,-3267,random_seed_20260220
random_03074,random,,4903,4317,random_seed_20260220
random_03075,random,,-2823,-7424,random_seed_20260220
random_03076,random,,1563,-7395,random_seed_20260220
random_03077,random,,8685,513,random_seed_20260220
random_03078,random,,5098,-6281,random_seed_20260220
random_03079,random,,-4382,-6796,random_seed_20260220
random_03080,random,,4380,8688,random_seed_20260220
random_03081,random,,-2146,2333,random_seed_20260220
random_03082,random,,5211,3554,random_seed_20260220
random_03083,random,,-222,-9293,random_seed_20260220
random_03084,random,,-7528,5806,random_seed_20260220
random_03085,random,,-4285,7943,random_seed_20260220
random_03086,random,,-9928,-8652,random_seed_20260220
random_03087,random,,-3347,-653,random_seed_20260220
random_03088,random,,5221,6445,random_seed_20260220
random_03089,random,,-2161,7523,random_seed_20260220
random_03090,random,,-4771,1652,random_seed_20260220
random_03091,random,,1432,-404,random_seed_20260220
random_03092,random,,-8239,1294,random_seed_20260220
random_03093,random,,-1748,9274,random_seed_20260220
random_03094,random,,1530,-8813,random_seed_20260220
random_03095,random,,-5093,-6991,random_seed_20260220
random_03096,random,,2893,-8510,random_seed_20260220
random_03097,random,,204,-7451,random_seed_20260220
random_03098,random,,6185,7181,random_seed_20260220
random_03099,random,,-9716,3390,random_seed_20260220
random_03100,random,,2693,-5445,random_seed_20260220
random_03101,random,,-6852,5002,random_seed_20260220
random_03102,random,,-9032,4714,random_seed_20260220
random_03103,random,,5748,-1634,random_seed_20260220
random_03104,random,,-1043,9343,random_seed_20260220
random_03105,random,,7869,494,random_seed_20260220
random_03106,random,,5576,5830,random_seed_20260220
random_03107,random,,-5569,-3046,random_seed_20260220
random_03108,random,,618,5834,random_seed_20260220
random_03109,random,,-9071,6721,random_seed_20260220
random_03110,random,,1649,-1246,random_seed_20260220
random_03111,random,,122,-734,random_seed_20260220
random_03112,random,,-7372,8625,random_seed_20260220
random_03113,random,,7251,-2017,random_seed_20260220
random_03114,random,,3783,696,random_seed_20260220
random_03115,random,,5200,1749,random_seed_20260220
random_03116,random,,-5012,-3840,random_seed_20260220
random_03117,random,,-7453,-4950,random_seed_20260220
random_03118,random,,3843,-6280,random_seed_20260220
random_03119,random,,3259,-9040,random_seed_20260220
random_03120,random,,-5227,3593,random_seed_20260220
random_03121,random,,-3696,3079,random_seed_20260220
random_03122,random,,3145,4951,random_seed_20260220
random_03123,random,,-3860,-5658,random_seed_20260220
random_03124,random,,6935,6699,random_seed_20260220
random_03125,random,,2655,-3247,random_seed_20260220
random_03126,random,,-1322,2161,random_seed_20260220
random_03127,random,,-1531,-7294,random_seed_20260220
random_03128,random,,4010,-8751,random_seed_20260220
random_03129,random,,306,9484,random_seed_20260220
random_03130,random,,-3299,7362,random_seed_20260220
random_03131,random,,3197,2019,random_seed_20260220
random_03132,random,,5824,5523,random_seed_20260220
random_03133,random,,702,3631,random_seed_20260220
random_03134,random,,5667,4275,random_seed_20260220
random_03135,random,,4954,4695,random_seed_20260220
random_03136,random,,-7140,-6479,random_seed_20260220
random_03137,random,,9675,9383,random_seed_20260220
random_03138,random,,-3068,340,random_seed_20260220
random_03139,random,,-809,-9316,random_seed_20260220
random_03140,random,,-3761,6764,random_seed_20260220
random_03141,random,,-1250,397,random_seed_20260220
random_03142,random,,392,-696,random_seed_20260220
random_03143,random,,9835,-7448,random_seed_20260220
random_03144,random,,-97,7592,random_seed_20260220
random_03145,random,,3281,8123,random_seed_20260220
random_03146,random,,-8823,7194,random_seed_20260220
random_03147,random,,-2787,6677,random_seed_20260220
random_03148,random,,-1965,2635,random_seed_20260220
random_03149,random,,-1844,9260,random_seed_20260220
random_03150,random,,4526,6615,random_seed_20260220
random_03151,random,,5610,-3780,random_seed_20260220
random_03152,random,,2230,7583,random_seed_20260220
random_03153,random,,-2998,-1850,random_seed_20260220
random_03154,random,,-8451,6822,random_seed_20260220
random_03155,random,,-7322,-9420,random_seed_20260220
random_03156,random,,-8062,4646,random_seed_20260220
random_03157,random,,5102,9675,random_seed_20260220
random_03158,random,,750,1839,random_seed_20260220
random_03159,random,,773,5550,random_seed_20260220
random_03160,random,,6379,2819,random_seed_20260220
random_03161,random,,2605,356,random_seed_20260220
random_03162,random,,7259,5961,random_seed_20260220
random_03163,random,,-7729,-8934,random_seed_20260220
random_03164,random,,917,3085,random_seed_20260220
random_03165,random,,-8484,-1772,random_seed_20260220
random_03166,random,,254,-9161,random_seed_20260220
random_03167,random,,-5315,3908,random_seed_20260220
random_03168,random,,8227,-8953,random_seed_20260220
random_03169,random,,4756,91,random_seed_20260220
random_03170,random,,9721,-7924,random_seed_20260220
random_03171,random,,-8352,-8949,random_seed_20260220
random_03172,random,,-168,-6269,random_seed_20260220
random_03173,random,,663,9355,random_seed_20260220
random_03174,random,,-5946,-6826,random_seed_20260220
random_03175,random,,4745,4489,random_seed_20260220
random_03176,random,,295,-1758,random_seed_20260220
random_03177,random,,-6892,-3467,random_seed_20260220
random_03178,random,,-9019,-3945,random_seed_20260220
random_03179,random,,2068,-8210,random_seed_20260220
random_03180,random,,1566,6255,random_seed_20260220
random_03181,random,,-5583,-6067,random_seed_20260220
random_03182,random,,-8665,-555,random_seed_20260220
random_03183,random,,6832,-8705,random_seed_20260220
random_03184,random,,-5065,8417,random_seed_20260220
random_03185,random,,9806,2219,random_seed_20260220
random_03186,random,,4113,521,random_seed_20260220
random_03187,random,,-6390,-4860,random_seed_20260220
random_03188,random,,5465,1080,random_seed_20260220
random_03189,random,,-5424,-7859,random_seed_20260220
random_03190,random,,7937,3887,random_seed_20260220
random_03191,random,,6969,-5486,random_seed_20260220
random_03192,random,,6714,4290,random_seed_20260220
random_03193,random,,-7310,9414,random_seed_20260220
random_03194,random,,7051,3992,random_seed_20260220
random_03195,random,,2132,1864,random_seed_20260220
random_03196,random,,-6704,-7736,random_seed_20260220
random_03197,random,,-4941,-1902,random_seed_20260220
random_03198,random,,-1186,-6715,random_seed_20260220
random_03199,random,,1857,-6027,random_seed_20260220
random_03200,random,,-6594,6200,random_seed_20260220
random_03201,random,,3262,489,random_seed_20260220
random_03202,random,,-4568,4236,random_seed_20260220
random_03203,random,,8871,7141,random_seed_20260220
random_03204,random,,9785,6336,random_seed_20260220
random_03205,random,,-7623,7117,random_seed_20260220
random_03206,random,,3714,6387,random_seed_20260220
random_03207,random,,-6477,-9313,random_seed_20260220
random_03208,random,,-2325,7004,random_seed_20260220
random_03209,random,,435,-4431,random_seed_20260220
random_03210,random,,-4883,-7618,random_seed_20260220
random_03211,random,,-6712,6181,random_seed_20260220
random_03212,random,,-2756,8606,random_seed_20260220
random_03213,random,,-4567,2732,random_seed_20260220
random_03214,random,,9258,-182,random_seed_20260220
random_03215,random,,2141,-4677,random_seed_20260220
random_03216,random,,-2437,-3196,random_seed_20260220
random_03217,random,,9315,-3262,random_seed_20260220
random_03218,random,,5632,-6701,random_seed_20260220
random_03219,random,,5998,692,random_seed_20260220
random_03220,random,,8807,7715,random_seed_20260220
random_03221,random,,-1246,-9205,random_seed_20260220
random_03222,random,,-2286,9409,random_seed_20260220
random_03223,random,,1559,8403,random_seed_20260220
random_03224,random,,3765,-189,random_seed_20260220
random_03225,random,,-5606,-1019,random_seed_20260220
random_03226,random,,-966,4648,random_seed_20260220
random_03227,random,,6169,1778,random_seed_20260220
random_03228,random,,2213,6328,random_seed_20260220
random_03229,random,,-5778,-6806,random_seed_20260220
random_03230,random,,-4017,-2342,random_seed_20260220
random_03231,random,,-6918,-2220,random_seed_20260220
random_03232,random,,8833,-3877,random_seed_20260220
random_03233,random,,-9810,-7713,random_seed_20260220
random_03234,random,,-3401,-1134,random_seed_20260220
random_03235,random,,9363,724,random_seed_20260220
random_03236,random,,-1701,8763,random_seed_20260220
random_03237,random,,-8407,7966,random_seed_20260220
random_03238,random,,313,7564,random_seed_20260220
random_03239,random,,3173,4402,random_seed_20260220
random_03240,random,,5684,-7644,random_seed_20260220
random_03241,random,,6099,-7059,random_seed_20260220
random_03242,random,,-580,-4407,random_seed_20260220
random_03243,random,,4683,-690,random_seed_20260220
random_03244,random,,8666,-4622,random_seed_20260220
random_03245,random,,5313,169,random_seed_20260220
random_03246,random,,-4555,-2819,random_seed_20260220
random_03247,random,,-2500,-7586,random_seed_20260220
random_03248,random,,1485,2676,random_seed_20260220
random_03249,random,,3292,5585,random_seed_20260220
random_03250,random,,-9750,-6103,random_seed_20260220
random_03251,random,,4264,-6929,random_seed_20260220
random_03252,random,,5185,6456,random_seed_20260220
random_03253,random,,336,9732,random_seed_20260220
random_03254,random,,6493,-9619,random_seed_20260220
random_03255,random,,-871,5874,random_seed_20260220
random_03256,random,,-3879,-13,random_seed_20260220
random_03257,random,,1145,2459,random_seed_20260220
random_03258,random,,-3145,-9241,random_seed_20260220
random_03259,random,,-7756,1979,random_seed_20260220
random_03260,random,,-8519,-5476,random_seed_20260220
random_03261,random,,6030,4891,random_seed_20260220
random_03262,random,,7927,-5473,random_seed_20260220
random_03263,random,,-788,-501,random_seed_20260220
random_03264,random,,-9941,8560,random_seed_20260220
random_03265,random,,-9845,-8076,random_seed_20260220
random_03266,random,,-2269,-4980,random_seed_20260220
random_03267,random,,6514,7632,random_seed_20260220
random_03268,random,,-3280,4076,random_seed_20260220
random_03269,random,,2161,8069,random_seed_20260220
random_03270,random,,-6728,-5763,random_seed_20260220
random_03271,random,,-7662,-6598,random_seed_20260220
random_03272,random,,-8904,-8011,random_seed_20260220
random_03273,random,,2417,-5399,random_seed_20260220
random_03274,random,,8358,231,random_seed_20260220
random_03275,random,,-1163,-2788,random_seed_20260220
random_03276,random,,-1250,-6390,random_seed_20260220
random_03277,random,,-4179,-2415,random_seed_20260220
random_03278,random,,-2400,8924,random_seed_20260220
random_03279,random,,-717,-8718,random_seed_20260220
random_03280,random,,-8066,-6295,random_seed_20260220
random_03281,random,,-3478,-8233,random_seed_20260220
random_03282,random,,-8326,79,random_seed_20260220
random_03283,random,,763,4270,random_seed_20260220
random_03284,random,,5443,750,random_seed_20260220
random_03285,random,,1169,3593,random_seed_20260220
random_03286,random,,-819,-2039,random_seed_20260220
random_03287,random,,-9193,-5875,random_seed_20260220
random_03288,random,,5391,4310,random_seed_20260220
random_03289,random,,2849,6730,random_seed_20260220
random_03290,random,,-5953,-4566,random_seed_20260220
random_03291,random,,-3339,-9194,random_seed_20260220
random_03292,random,,3340,-1799,random_seed_20260220
random_03293,random,,7605,-8100,random_seed_20260220
